measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,18,Kingdom of Thailand,3,Both,27,Age-standardized,400,Acute hepatitis,3,Rate,1994,0.6131072546043318,0.7515095920194337,0.4864780780509401
1,Deaths,18,Kingdom of Thailand,3,Both,27,Age-standardized,400,Acute hepatitis,3,Rate,1990,0.7578982197824382,1.0127239506251846,0.5571038521139419
1,Deaths,18,Kingdom of Thailand,3,Both,27,Age-standardized,345,Malaria,3,Rate,1992,1.3872157881314828,2.986507406324162,0.5499135683244154
1,Deaths,18,Kingdom of Thailand,3,Both,27,Age-standardized,409,Non-communicable diseases,3,Rate,1994,604.4279543855345,663.8322689627524,543.5348334383667
1,Deaths,18,Kingdom of Thailand,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,1994,27.031913173514628,31.53961722813098,23.186477678559957
1,Deaths,18,Kingdom of Thailand,3,Both,27,Age-standardized,409,Non-communicable diseases,3,Rate,1990,588.6482382195703,649.2099103385533,520.9029053425679
1,Deaths,18,Kingdom of Thailand,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,1990,24.36780874752699,29.574841607261764,19.989098063004306
1,Deaths,18,Kingdom of Thailand,3,Both,27,Age-standardized,508,Chronic respiratory diseases,3,Rate,1992,68.85733213683979,78.38369579183009,58.47360034911514
1,Deaths,18,Kingdom of Thailand,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1992,163.86300787368597,212.7005360525417,137.92456409548603
1,Deaths,18,Kingdom of Thailand,3,Both,27,Age-standardized,297,Tuberculosis,3,Rate,1992,40.00340901593023,47.2498813583224,33.14035107538524
1,Deaths,18,Kingdom of Thailand,3,Both,27,Age-standardized,298,HIV/AIDS,3,Rate,1992,20.459969923441832,20.972202320326744,19.980262790558424
1,Deaths,18,Kingdom of Thailand,3,Both,27,Age-standardized,589,Chronic kidney disease,3,Rate,1990,24.258999354912987,30.5821244796387,20.243552615678556
1,Deaths,18,Kingdom of Thailand,3,Both,27,Age-standardized,589,Chronic kidney disease,3,Rate,1994,26.805180617230747,31.566908277248686,23.150337687386298
1,Deaths,18,Kingdom of Thailand,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1992,143.12079749886857,158.9550676479752,127.352473332476
1,Deaths,102,United States of America,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1990,45.27447304397653,46.68754610331548,42.73867016291591
1,Deaths,102,United States of America,3,Both,27,Age-standardized,297,Tuberculosis,3,Rate,1990,0.7138701195375939,0.7393211595074459,0.6765190638284391
1,Deaths,102,United States of America,3,Both,27,Age-standardized,298,HIV/AIDS,3,Rate,1990,9.76806545683992,9.791223765495202,9.74715452769648
1,Deaths,18,Kingdom of Thailand,3,Both,27,Age-standardized,491,Cardiovascular diseases,3,Rate,1992,230.24813034524982,253.4671945928504,202.9366898208386
1,Deaths,18,Kingdom of Thailand,3,Both,27,Age-standardized,345,Malaria,3,Rate,1994,0.7678353553952304,1.527149667405495,0.31986055100676414
1,Deaths,18,Kingdom of Thailand,3,Both,27,Age-standardized,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1994,157.06673632079955,190.39475811245657,136.75129478424682
1,Deaths,18,Kingdom of Thailand,3,Both,27,Age-standardized,297,Tuberculosis,3,Rate,1994,35.65210000535609,41.963744567954805,30.17356886000277
1,Deaths,18,Kingdom of Thailand,3,Both,27,Age-standardized,298,HIV/AIDS,3,Rate,1994,29.294556586677047,30.318219251293336,28.40328646565899
1,Deaths,18,Kingdom of Thailand,3,Both,27,Age-standardized,409,Non-communicable diseases,3,Rate,1992,601.1068201613618,653.8131701736476,540.6682600607795
1,Deaths,18,Kingdom of Thailand,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,1992,25.87628111527904,31.017729651581025,21.38293389571415
